"dmc_code"
"#0Z1915132PC   ###*Z00 B1Y901AMUFY*=01S-120626-1A0101-0.23-3597-2063-158.4-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKQJX*=01S-120626-1B0101-0.23-3598-2066-158.4-25-30-110727"
"#0Z1915132PC   ###*Z00 B1Y901AMUDW*=01S-120626-1A0101-0.25-3597-2065-157.9-25-30-110727"
"#0Z1915132PC   ###*Z00 B1Y901AMUBU*=01S-120626-1A0101-0.23-3597-2063-157.4-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKQKY*=01S-120626-1B0102-0.23-3598-2062-158.1-25-30-110727"
"#0Z1915132PC   ###*Z00 B1Y901AMUEX*=01S-120626-1A0101-0.22-3598-2058-157.2-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKQN.*=01S-120626-1B0101-0.24-3598-2060-157.8-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKQW3*=01S-120626-1B0101-0.24-3597-2068-158.3-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKPX3*=01S-120626-1B0101-0.25-3598-2069-159.1-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKQ1F*=01S-120626-1B0202-0.23-3598-2068-158.8-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKQT0*=01S-120626-1B0201-0.25-3597-2068-158.4-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AMQFV*=01S-120626-1B0102-0.24-3598-2061-157.8-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AMQGW*=01S-120626-1B0101-0.25-3598-2057-157.8-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKR5K*=01S-120626-1B0102-0.22-3598-2059-157.3-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKQO *=01S-120626-1B0201-0.24-3598-2055-156.9-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AMQJZ*=01S-120626-1B0201-0.23-3598-2064-158.4-25-30-110727"
"#0Z1915132PC   ###*Z00 B1Y901AKRW3*=01S-120626-1A0202-0.25-3597-2059-157.7-25-30-110727"
"#0Z1915132PC   ###*Z00 B1Y901AKRZ6*=01S-120626-1A0201-0.23-3597-2060-157.8-25-30-110727"
"#0Z1915132PC   ###*Z00 B1Y901AMUI.*=01S-120626-1A0101-0.23-3597-2062-158.0-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YB00VHWJE*=01S-120626-2A0202-0.26-3597-2059-157.8-26-30-110727"
"#0Z1915132PC   ###*Z00 B1YA01AKR9O*=01S-120626-1B0101-0.24-3597-2066-158.0-25-30-110727"
"#0Z1915132PC   ###*Z00 B1YE00LM419*=01S-120626-3B0102-0.26-3597-2059-156.7-25-30-100727"
"#0Z1915132PC   ###*Z00 B1Y901AMZG/*=01S-120626-1A0102-0.22-3597-2064-158.0-25-30-110727"
